ซีนที่ (Scene No),ช่วงเวลา (Time),คิวเสียง (Lyric Cue),ตัวละครในซีน (Characters),สถานที่ถ่ายทำ (Location),ภาพเหตุการณ์ (Description),Photo Prompt (เจนภาพ),Motion Prompt (เจนวิดีโอ)
11,0:41 - 0:46,ถ้าคนที่ไม่รู้จัก เราต้องระวังให้แน่ เตรียมทำท่าไม้ตาย คาถาป้องกันตัว,"Homey, Stranger",Playground,น้องโฮมมี่กำลังเล่นอยู่คนเดียวที่สนามเด็กเล่น ทันใดนั้น คนแปลกหน้า (จิ้งจอก) ก็เดินเข้ามาใกล้พร้อมยื่นของเล่นให้ น้องโฮมมี่มีท่าทีระแวงและเตรียมพร้อมป้องกันตัว,"Disney Pixar 3D Animation style, virtual environment of a sunny suburban playground with a colorful slide and green trees. น้องโฮมมี่ (Homey), a small energetic monkey cub with big round eyes, wearing a striped t-shirt and dark blue denim overalls, is playing. A cartoonish sly fox stranger, คนแปลกหน้า (Stranger), wearing a dark purple hoodie and sunglasses, holding a colorful toy, approaches น้องโฮมมี่. Eye-level medium shot, bright sunny day lighting.",Camera slightly zooms out to reveal the interaction. น้องโฮมมี่ (Homey) looks wary and takes a defensive stance. The stranger (fox) extends the toy towards น้องโฮมมี่. Bright sunny day lighting.
12,0:46 - 0:50,ไม่ ไม่ ไม่ ขอบคุณครับ,Homey,Playground,น้องโฮมมี่ปฏิเสธของจากคนแปลกหน้าอย่างสุภาพ แต่หนักแน่น โดยหันไปมองหาพ่อแม่,"Disney Pixar 3D Animation style, virtual environment of a sunny suburban playground. Close-up on น้องโฮมมี่ (Homey), a small energetic monkey cub with big round eyes, wearing a striped t-shirt and dark blue denim overalls. น้องโฮมมี่ is looking at the stranger (fox) with a firm expression and shaking its head slightly, saying 'No, no, no, thank you'. Bright sunny day lighting.","Camera focuses on น้องโฮมมี่'s face. น้องโฮมมี่ shakes its head and mouths the words 'No, no, no, thank you' clearly. The stranger (fox) looks slightly taken aback. Bright sunny day lighting."
13,0:50 - 0:55,ไม่รับของจากคนแปลกหน้า,"Homey, Dad, Mom",Playground,น้องโฮมมี่หันไปทางพ่อแม่ (พ่อยีราฟและแม่หมี) ที่กำลังมองอยู่ และพูดเน้นย้ำว่าไม่รับของจากคนแปลกหน้า,"Disney Pixar 3D Animation style, virtual environment of a sunny suburban playground. Medium close-up on น้องโฮมมี่ (Homey), a small energetic monkey cub with big round eyes, wearing a striped t-shirt and dark blue denim overalls. น้องโฮมมี่ is looking towards the side, where พ่อยีราฟ (Dad) and แม่หมี (Mom) are visible in the background. น้องโฮมมี่ is speaking the phrase 'Don't take things from strangers'. Bright sunny day lighting.",Camera pans slightly to follow น้องโฮมมี่'s gaze towards พ่อยีราฟ (Dad) and แม่หมี (Mom) in the background. น้องโฮมมี่ speaks the line clearly and confidently. Bright sunny day lighting.
14,0:55 - 1:00,หันไปถามคุณพ่อคุณแม่ ปลอดภัยแน่ๆ สบายใจจัง,"Homey, Dad, Mom",Homey's Front Yard,น้องโฮมมี่หันไปปรึกษาคุณพ่อคุณแม่ (พ่อยีราฟและแม่หมี) ที่เดินเข้ามาหาด้วยท่าทีสบายใจและปลอดภัย,"Disney Pixar 3D Animation style, virtual environment of a sunny suburban playground. Wide shot showing น้องโฮมมี่ (Homey), a small energetic monkey cub, interacting with พ่อยีราฟ (Dad), a tall giraffe in a green polo shirt, and แม่หมี (Mom), a brown bear in a pink cardigan. They are in a cozy yard in front of a charming house with a white wooden fence. น้องโฮมมี่ looks relieved and happy. Bright sunny day lighting.","Camera pulls back to a wide shot. พ่อยีราฟ (Dad) and แม่หมี (Mom) walk towards น้องโฮมมี่, smiling warmly. น้องโฮมมี่ turns to them, looking relieved and happy, saying 'Ask Mom and Dad, it's definitely safe, so relieved'. The stranger (fox) is seen backing away slowly in the background. Bright sunny day lighting."
15,1:00 - 1:04,พ่อยีราฟตัวสูง ยืนยิ้มช่างรออยู่,Dad,Homey's Front Yard,ภาพโฟกัสที่พ่อยีราฟกำลังยิ้มอย่างอบอุ่นและรอคอยน้องโฮมมี่,"Disney Pixar 3D Animation style, virtual environment of Homey's Front Yard, a cozy yard in front of a charming house with a white wooden fence. Medium shot, low-angle view of พ่อยีราฟ (Dad), a tall, warm-hearted giraffe father wearing a green polo shirt, standing and smiling warmly. He is looking down affectionately at น้องโฮมมี่ (off-screen). Warm golden lighting.","Camera slowly tilts up to focus on พ่อยีราฟ's (Dad's) smiling face. He has a gentle, reassuring expression. Warm golden lighting."
16,1:04 - 1:09,แม่หมีกางแขนกอด แม่คอยเฝ้าดู,"Mom, Homey, Dad",Homey's Front Yard,แม่หมีกอดน้องโฮมมี่อย่างอบอุ่น ขณะที่พ่อยีราฟยืนมองอยู่ข้างๆ ในสวนหน้าบ้าน,"Disney Pixar 3D Animation style, virtual environment of Homey's Front Yard. A gentle brown bear mother (Mom) wearing a white shirt, pink cardigan, khaki trousers, and white shoes, is hugging a small energetic monkey cub (Homey) wearing a striped t-shirt and dark blue denim overalls. A tall, warm-hearted giraffe father (Dad) wearing a green polo shirt, dark blue trousers, and white sneakers stands nearby, smiling. Cozy yard with a white wooden fence and green grass. Warm golden lighting. Medium shot, eye-level angle.","Camera slowly zooms out from a medium shot of Mom hugging Homey, with Dad standing beside them in Homey's Front Yard. Warm golden lighting. Eye-level angle."
17,1:09 - 1:14,ถ้ามีคนแปลกหน้า วิ่งมาหาผู้ใหญ่ จำไว้นะเด็กเก่ง ปลอดภัยตลอดไป ไป ไป ไป ไป,"Mom, Dad, Homey, Stranger",Homey's Front Yard,แม่หมีและพ่อยีราฟสอนน้องโฮมมี่ให้ระวังคนแปลกหน้า โดยชี้ไปที่คนแปลกหน้า (สุนัขจิ้งจอก) ที่กำลังเดินเข้ามาใกล้ๆ ในสวนหน้าบ้าน,"Disney Pixar 3D Animation style, virtual environment of Homey's Front Yard. Mom and Dad are teaching Homey. Mom (brown bear, white shirt, pink cardigan, khaki trousers, white shoes) and Dad (giraffe, green polo shirt, dark blue trousers, white sneakers) are pointing towards a sly fox stranger (Stranger) wearing a dark purple hoodie and sunglasses, holding a colorful toy, who is walking towards them. Homey (monkey cub, striped t-shirt, blue overalls) looks attentive. Cozy yard with a white wooden fence and green grass. Bright sunny day. Wide shot, eye-level angle.","Camera pans right, following the Stranger as he approaches Mom, Dad, and Homey in Homey's Front Yard. Bright sunny day. Eye-level angle."
18,1:14 - 1:18,(ดนตรีช่วงเปลี่ยนผ่านสั้นๆ),"Stranger, Homey",Homey's Front Yard,ภาพตัดไปที่คนแปลกหน้า (สุนัขจิ้งจอก) ที่กำลังยื่นของเล่นให้น้องโฮมมี่อย่างรวดเร็ว ในสวนหน้าบ้าน,"Disney Pixar 3D Animation style, virtual environment of Homey's Front Yard. A sly fox stranger (Stranger) wearing a dark purple hoodie and sunglasses, is slyly offering a colorful toy to a small monkey cub (Homey) wearing a striped t-shirt and dark blue denim overalls. Close-up shot, low-angle. Soft natural light.",Camera quickly zooms in on the Stranger's hand offering the toy to Homey in Homey's Front Yard. Soft natural light. Low-angle.
19,1:18 - 1:22,ไม่ ไม่ ไม่ ขอบคุณครับ,"Homey, Stranger, Mom, Dad",Homey's Front Yard,น้องโฮมมี่ปฏิเสธของเล่นจากคนแปลกหน้า โดยมีแม่หมีและพ่อยีราฟยืนอยู่ข้างๆ ในสวนหน้าบ้าน,"Disney Pixar 3D Animation style, virtual environment of Homey's Front Yard. Homey (monkey cub, striped t-shirt, blue overalls) is shaking his head 'no' and holding up his hands to refuse a colorful toy from the Stranger (sly fox, dark purple hoodie, sunglasses). Mom (brown bear) and Dad (giraffe) stand protectively behind Homey. Cozy yard with a white wooden fence and green grass. Bright sunny day. Medium close-up shot, eye-level angle.","Camera focuses on Homey shaking his head 'no' and holding up his hands, with the Stranger looking slightly taken aback, in Homey's Front Yard. Bright sunny day. Eye-level angle."
20,1:22 - 1:27,ไม่รับของจากคนแปลกหน้า,"Mom, Dad, Homey, Stranger",Homey's Front Yard,แม่หมีและพ่อยีราฟสอนน้องโฮมมี่ว่าไม่ควรรับของจากคนแปลกหน้า โดยยืนอยู่ข้างๆ น้องโฮมมี่ในสวนหน้าบ้าน,"Disney Pixar 3D Animation style, virtual environment of Homey's Front Yard. Mom (brown bear, white shirt, pink cardigan, khaki trousers, white shoes) and Dad (giraffe, green polo shirt, dark blue trousers, white sneakers) are standing next to Homey (monkey cub, striped t-shirt, blue overalls), gently explaining to him. The Stranger (sly fox, dark purple hoodie, sunglasses) is walking away in the background. Cozy yard with a white wooden fence and green grass. Warm natural light. Medium shot, eye-level angle.","Camera follows Mom and Dad as they talk to Homey, reinforcing the lesson about not taking things from strangers, in Homey's Front Yard. The Stranger walks away. Warm natural light. Eye-level angle."
21,1:27 - 1:32,หันไปถามคุณพ่อคุณแม่ ปลอดภัยแน่ๆ สบายใจจัง,"Homey, Dad, Mom",Playground,น้องโฮมมี่หันไปมอง พ่อยีราฟ และ แม่หมี ที่ยืนอยู่ข้างๆ ด้วยสีหน้าสบายใจและมั่นใจ,"Disney Pixar 3D Animation style, virtual environment of a suburban playground, น้องโฮมมี่ (Homey) the energetic monkey cub with big round eyes, wearing a striped t-shirt and dark blue denim overalls, looking up with a relieved expression at พ่อยีราฟ (Dad) the tall, warm-hearted giraffe father in a green polo shirt and dark blue trousers, and แม่หมี (Mom) the gentle brown bear mother in a white shirt, pink cardigan, and khaki trousers. They are standing together near a colorful slide. Bright sunny day lighting.",Camera slowly zooms out to reveal น้องโฮมมี่ (Homey) looking up at พ่อยีราฟ (Dad) and แม่หมี (Mom) with a sense of security. They stand close together in a sunny playground. Eye-level shot.
22,1:32 - 1:36,คาถาพิเศษ ท่องไว้ให้ดี,Homey,Playground,น้องโฮมมี่ กำลังท่องคาถาด้วยท่าทางตั้งใจ อาจจะมีสัญลักษณ์คาถาปรากฏขึ้นรอบๆ ตัว,"Disney Pixar 3D Animation style, virtual environment of a suburban playground, น้องโฮมมี่ (Homey) the energetic monkey cub with big round eyes, wearing a striped t-shirt and dark blue denim overalls, is concentrating intensely, perhaps with subtle magical symbols appearing around him. He is holding a banana. Bright sunny day lighting.",Camera focuses on น้องโฮมมี่ (Homey) as he recites the special spell with determination. Subtle magical effects emanate from him. Eye-level shot.
23,1:36 - 1:40,ปฏิเสธทันที เมื่อเจอคนแปลกหน้า,"Homey, Stranger",Playground,คนแปลกหน้า (สุนัขจิ้งจอก) เดินเข้ามาหาน้องโฮมมี่ พร้อมยื่นของให้ น้องโฮมมี่ แสดงท่าทีปฏิเสธอย่างชัดเจน,"Disney Pixar 3D Animation style, virtual environment of a suburban playground, น้องโฮมมี่ (Homey) the energetic monkey cub in a striped t-shirt and denim overalls, is standing firm and clearly refusing something. คนแปลกหน้า (Stranger), a sly cartoonish fox in a dark purple hoodie and sunglasses, is approaching น้องโฮมมี่ and holding out a colorful toy. Bright sunny day lighting.",Camera shows คนแปลกหน้า (Stranger) approaching น้องโฮมมี่ (Homey) with a toy. น้องโฮมมี่ (Homey) immediately turns away and shakes his head in refusal. Eye-level shot.
24,1:40 - 1:44,ไม่ ไม่ ไม่ ขอบคุณครับ,Homey,Playground,น้องโฮมมี่ พูดปฏิเสธเสียงดังฟังชัด พร้อมส่ายหน้า,"Disney Pixar 3D Animation style, virtual environment of a suburban playground, Close-up on น้องโฮมมี่ (Homey) the energetic monkey cub with big round eyes, wearing a striped t-shirt and dark blue denim overalls. He is firmly saying 'No, no, no, thank you' with a determined expression and shaking his head. Bright sunny day lighting.","Camera zooms in for a close-up on น้องโฮมมี่ (Homey)'s face as he emphatically says 'No, no, no, thank you' while shaking his head. Eye-level shot."
25,1:44 - 1:48,ไม่รับของจากคนแปลกหน้า,"Homey, Stranger",Playground,น้องโฮมมี่ ปฏิเสธที่จะรับของเล่นจากคนแปลกหน้าอย่างเด็ดขาด,"Disney Pixar 3D Animation style, virtual environment of a suburban playground, น้องโฮมมี่ (Homey) the energetic monkey cub in a striped t-shirt and denim overalls, is firmly holding his hands behind his back, refusing to take a colorful toy offered by คนแปลกหน้า (Stranger), a sly fox in a dark purple hoodie and sunglasses. Bright sunny day lighting.",Camera shows น้องโฮมมี่ (Homey) keeping his distance and clearly refusing the toy offered by คนแปลกหน้า (Stranger). น้องโฮมมี่ (Homey) keeps his hands behind his back. Eye-level shot.
26,1:48 - 1:52,หันไปถามคุณพ่อคุณแม่,"Homey, Dad, Mom",Playground,น้องโฮมมี่ หันไปมอง พ่อยีราฟ และ แม่หมี ที่กำลังมองมาที่เขาด้วยความเป็นห่วง,"Disney Pixar 3D Animation style, virtual environment of a suburban playground, น้องโฮมมี่ (Homey) the energetic monkey cub in a striped t-shirt and denim overalls, turns his head to look towards พ่อยีราฟ (Dad) the tall giraffe in a green polo shirt and แม่หมี (Mom) the brown bear in a pink cardigan. They are watching น้องโฮมมี่ with concerned expressions. Bright sunny day lighting.","Camera pans slightly to follow น้องโฮมมี่ (Homey) as he turns to look at พ่อยีราฟ (Dad) and แม่หมี (Mom), who are watching him with gentle concern. Eye-level shot."
27,1:52 - 1:55,ปลอดภัยแน่ๆ สบายใจจัง (ดนตรี Outro จบ),"Homey, Dad, Mom",Playground,น้องโฮมมี่ กลับมายิ้มอย่างสบายใจเมื่อเห็น พ่อยีราฟ และ แม่หมี อยู่ใกล้ๆ เพลงจบลง,"Disney Pixar 3D Animation style, virtual environment of a suburban playground, น้องโฮมมี่ (Homey) the energetic monkey cub in a striped t-shirt and denim overalls, is now smiling with relief, standing close to พ่อยีราฟ (Dad) the giraffe and แม่หมี (Mom) the bear. The sun is setting, casting a warm golden light. The scene conveys a sense of safety and comfort. Wide shot.",Camera slowly zooms out from น้องโฮมมี่ (Homey) as he smiles and moves closer to พ่อยีราฟ (Dad) and แม่หมี (Mom). The warm golden light of the setting sun bathes the scene as the music fades out. Eye-level shot.
