ซีนที่ (Scene No),ช่วงเวลา (Time),ความยาว (Duration),คิวเสียง (Lyric Cue),ภาพเหตุการณ์ (Description),ประเภทช็อต (Shot Type),มุมกล้อง (Camera Angle),การจัดแสง (Lighting),Photo Prompt (เจนภาพ),Motion Prompt (เจนวิดีโอ),ตัวละครในซีน (Characters),สถานที่ถ่ายทำ (Location)
11,0:45 - 0:48,3,พริกหวานสีส้ม สีสันเตะตา,ภาพตัดมาที่ลู่วิ่ง Cosmic Rainbow Track โฮมมี่ลงจอดอย่างเท่ สวีทตี้ (Sweetie) พริกหวานส้มติดเจ็ทไอพ่นยืนโพสท่าท้าทายอยู่ตรงหน้า,Medium Shot,"Dynamic low-angle, emphasizing Sweetie's cool posture.","Neon glow from the Cosmic Rainbow Track, with intense electric orange sparks glowing around Sweetie. Futuristic ambient lighting with strong rim light highlighting Sweetie's sleek form.","`Medium shot of Sweetie, the cute, sleek orange bell pepper character wearing tiny aviator goggles, striking a cool and confident racer pose on the glowing Cosmic Rainbow Track. Intense electric orange sparks are emanating and swirling around its tiny jet thrusters, highlighting its readiness to race. The cosmic nebula background is in soft focus. Disney Pixar 3D animation style, 3D character design, clay rendering, octane render, smooth textures, highly detailed, 16:9 aspect ratio.`","Low-angle camera performs a quick reveal (dolly up 0.5 units/second in 1 second) of Sweetie, with distinct heat haze effects emanating from its tiny jet thrusters. Sweetie performs a subtle, confident nod and a small vibration, indicating engine readiness. No text, no subtitles, no words, clean video output.","Homey, Sweetie",Cosmic Rainbow Track
12,0:48 - 0:52,4,มะเขือเทศสีแดงจ้า กรอบกรุบหวานชื่นใจ,น้องทอมมี่ (Tommy) มะเขือเทศแดงกลิ้งตามมาติดๆ โฮมมี่หยิบกินแล้วแก้มแดงขึ้นมาทันที ยิ้มแป้นด้วยความกระปรี้กระเปร่า,Close-up Shot,"Eye-level, focused on Homey's face.","Warm, vibrant glow from the fresh red tomato, and a magical gleam spreading across Homey's cheeks. Deep space ambient light softly illuminates the scene, with subsurface scattering on the tomato.","`Close-up shot of Homey, with big, delighted eyes closed, popping a perfectly fresh, vibrant red Tommy the tomato character into his mouth. His cheeks instantly glow with a bright red color, signifying a rush of energy. The background shows a softly blurred Cosmic Rainbow Track. Disney Pixar 3D animation style, 3D character design, clay rendering, octane render, smooth textures, subsurface scattering on tomato, highly detailed, 16:9 aspect ratio.`","Macro camera zoom (0.5x zoom factor in 2 seconds) on Homey's face, meticulously capturing the red blush spreading over his cheeks with a magic gleam effect. Homey's eyes open wide with a satisfied grin, his expression radiating immediate invigoration. No text, no subtitles, no words, clean video output.","Homey, Tommy",Cosmic Rainbow Track
13,0:52 - 0:58,6,หยิบเข้าปากง่ำๆ อร่อยกว่าใคร,โฮมมี่เคี้ยวพริกหวานและมะเขือเทศเสียงดังง่ำๆ มีพลังสีส้มหมุนพัดรอบเท้าเป็นทอร์นาโดความเร็วสูง,Action Shot (Medium Shot),"Dynamic eye-level, slightly canted for excitement.","Neon glow from the Cosmic Rainbow Track, with vibrant orange and red cosmic dust particles emitting light. Dynamic shadows are cast by the swirling tornado of energy.","`Action shot of Homey, with a determined and happy expression, actively chewing on the Cosmic Rainbow Track. A powerful whirlwind of glowing orange and red cosmic dust swirls dynamically around his futuristic sneakers, signifying immense power. The background shows the vibrant space nebula in motion blur. Disney Pixar 3D animation style, 3D character design, clay rendering, octane render, smooth textures, highly detailed, 16:9 aspect ratio.`","Dynamic camera rotation (barrel roll effect, 45 degrees over 6 seconds) as intense wind and light particles swirl rapidly around Homey's feet, building speed with subtle motion blur. Homey performs exaggerated, energetic chewing motions, his cheeks puffing with each bite. No text, no subtitles, no words, clean video output.",Homey,Cosmic Rainbow Track
14,0:58 - 1:01,3,ว้าว พลังแรงกล้า,โฮมมี่ก้มตัวเตรียมพร้อมวิ่ง รองเท้าผ้าใบเรืองแสงออร่าสีส้มเจิดจ้า มีเปลวไฟไอพ่นพุ่งออกด้านหลัง,Close-up Shot (of feet),"Low-angle, emphasizing power.","Intense orange light radiating from Homey's sneakers, with bright jet exhaust flames creating dynamic highlights on the Cosmic Rainbow Track.","`Close-up shot of Homey's highly detailed sneakers planted firmly on the Cosmic Rainbow Track, glowing with intense orange light and emitting powerful jet exhaust flames from the heels. His body is subtly blurred in the background, bracing for a powerful takeoff. Disney Pixar 3D animation style, 3D character design, clay rendering, octane render, smooth textures, highly detailed, 16:9 aspect ratio.`","Dramatic slow-motion zoom (0.8x zoom factor in 3 seconds) on the foot lock-on, capturing sparks flying and subtle ground vibration as Homey braces for takeoff. The jet exhaust flames visibly intensify and flicker. No text, no subtitles, no words, clean video output.",Homey,Cosmic Rainbow Track
15,1:01 - 1:06,5,วิ่งเร็วฟิ้วๆ เหมือนรถยนต์เลยไง,โฮมมี่สับเท้าวิ่งพุ่งทะยานไปด้วยความเร็วแสงบน Cosmic Rainbow Track ทิ้งเส้นนำสายตาสีส้มแดงตัดอวกาศ,Wide Action Shot,"Dynamic eye-level, horizontally tracking.","Streaking neon lights from the Cosmic Rainbow Track, with heavily motion-blurred stars and nebulae creating vibrant light trails. Bright highlights on Homey's aerodynamic form.","`Wide action shot of Homey sprinting at lightspeed on the Cosmic Rainbow Track, appearing as a dynamic blur of motion. The background consists of heavily blurred stars and nebulae, streaking past like a fast race car. He leaves behind vibrant energy trails of orange and red, cutting through the cosmic expanse. Disney Pixar 3D animation style, 3D character design, clay rendering, octane render, smooth textures, extreme motion blur, highly detailed, 16:9 aspect ratio.`","Fast whip-pan tracking shot (pan rate 40 degrees/second) keeping precise pace with Homey as he zooms across the screen. Stars streak past with extreme motion blur, emphasizing his speed. Homey's body position dynamically shifts, showing wind effects on his hair and clothes. No text, no subtitles, no words, clean video output.",Homey,Cosmic Rainbow Track
16,1:06 - 1:10,4,เขียวๆ เขียวๆ ผักใบเขียว กรุบกรอบ,โฮมมี่วิ่งผ่านเพื่อนผักใบเขียวโบกไม้โบกมือ แตะมือ High-five กับพี่บรอก (Brocc) ที่กิ่งไม้สีเขียวยื่นมาริมทางวิ่ง,Medium Tracking Shot,"Eye-level, following Homey.","Bright, futuristic ambient light, with green light sparks emanating upon impact. Subsurface scattering on Brocc's florets and vibrant highlights on Homey's hand.","`Medium tracking shot of Homey, running energetically on the Cosmic Rainbow Track, high-fiving Brocc the friendly green broccoli character. Brocc's green stem-arm extends from the side of the track, offering a cheerful high-five. Both characters have happy, energetic facial expressions. The background shows a blurred cosmic environment. Disney Pixar 3D animation style, 3D character design, clay rendering, octane render, smooth textures, subsurface scattering on Brocc, highly detailed, 16:9 aspect ratio.`","Camera slides backward in front of Homey (dolly back at 1.0 units/second), capturing the slap-hand slow-motion impact with bursts of green light particles and a subtle auditory cue. Homey maintains his running stride, while Brocc's arm gently retracts. No text, no subtitles, no words, clean video output.","Homey, Brocc",Cosmic Rainbow Track
17,1:10 - 1:18,8,สีแดง สีส้ม หม่ำๆๆๆ อั้ม มีพลัง,โฮมมี่โหนรางวิ่งเลี้ยวโค้งลอยตัวคว้าลูกบอลผักสีแดงและส้มหม่ำอย่างรวดเร็ว ออร่าร่างกายโตสว่างขยายใหญ่ขึ้น,Epic Action Shot (Medium Shot),Dynamic bullet-time 180-degree orbit.,"Vibrant glowing red and orange vitamins emitting intense light, with powerful golden light grid lines radiating from Homey's body. Dramatic volumetric light and lens flares.","`Epic action shot of Homey mid-air, in a graceful yet powerful pose, swallowing vibrant glowing red and orange vitamin spheres. His body radiates powerful golden light grid lines, expanding and pulsating with energy. The background shows the Cosmic Rainbow Track curving dramatically through a beautiful nebula. Disney Pixar 3D animation style, 3D character design, clay rendering, octane render, smooth textures, volumetric lighting, highly detailed, 16:9 aspect ratio.`","Dramatic bullet-time slow motion camera rotates 180 degrees (rate 22.5 degrees/second) around Homey as he glows bright yellow. Rippling energy fields emanate from his body, creating a subtle distortion effect. Homey's actions of catching and eating the vitamins are fluid and precise. No text, no subtitles, no words, clean video output.",Homey,Cosmic Rainbow Track
18,1:18 - 1:21,3,ข้าวโพดสีเหลืองเม็ดเรียงสวยงาม,ภาพตัดมาที่ ป๊อปปี้ (Poppy) ข้าวโพดขยับได้ โยกตัวเต้นรำอวดฝักเม็ดเหลืองเรียงสวยเป็นระเบียบยิ้มแป้นยิงฟันเงาวับ,Close-up Shot,"Eye-level, focused on Poppy.","Bright, cheerful lighting, with shiny yellow kernels reflecting light and clean white teeth gleaming. Subsurface scattering on Poppy's kernels.","`Close-up shot of Poppy, the happy corn-on-the-cob character, enthusiastically smiling with perfectly clean white teeth, showing off its shiny, beautifully yellow kernels arranged in neat rows on the Cosmic Rainbow Track. Its green husk acts like a jacket. The background is softly blurred. Disney Pixar 3D animation style, 3D character design, clay rendering, octane render, smooth textures, subsurface scattering on kernels, highly detailed, 16:9 aspect ratio.`","Slight camera shake and wobble (frequency 2Hz, amplitude 0.05 units) matching Poppy's energetic dance beats. Poppy performs playful swaying and hip-shaking movements, its husk jacket subtly jiggling, with its teeth sparkling brightly. No text, no subtitles, no words, clean video output.",Poppy,Cosmic Rainbow Track
19,1:21 - 1:25,4,ฟักทองรสหวาน ชิมแล้วติดใจ,พี่พัมก์ (Pumpk) ฟักทองพี่ใหญ่มัดผ้าพันคอเต้นหมุนตัว โฮมมี่ใช้ช้อนไม้ตักชิมฟักทองนึ่งชิ้นหวาน,Medium Shot,Eye-level.,"Warm, soft ambient light, with golden highlights on the pumpkin slice and subsurface scattering on Pumpk. Cozy, inviting atmosphere.","`Medium shot of Homey, with a look of warm satisfaction, tasting a small, perfectly steamed pumpkin slice with a delicate wooden spoon. Pumpk, the extremely fat, round, and friendly pumpkin character, wearing its green knitted scarf, smiles warmly next to him, subtly swaying. The setting is a Playful Front Yard setting with soft, warm lighting. Disney Pixar 3D animation style, 3D character design, clay rendering, octane render, smooth textures, subsurface scattering on Pumpk, highly detailed, 16:9 aspect ratio.`","Camera focuses on the spoon as it enters Homey's mouth (depth of field shift), then pans smoothly up to Homey's face (pan rate 1 degree/second) showing his warm, satisfied smile. A gentle steam effect rises from the pumpkin slice. Pumpk performs a subtle, contented full body wiggle. No text, no subtitles, no words, clean video output.","Homey, Pumpk",Cosmic Rainbow Track
20,1:25 - 1:31,6,หยิบเข้าปากง่ำๆ เคี้ยวเพลินกว่าใคร,โฮมมี่กวาดข้าวโพดและฟักทองใส่ปากเคี้ยวสนุกสนาน ออร่าสีทองสว่างวาบรอบตัวอบอุ่น,Medium Shot,Eye-level.,"Bright golden aura radiating from Homey, with floating yellow sparkles emitting their own light. Warm rim lighting on Homey's hair and clothing, creating an inviting glow.","`Medium shot of Homey, holding a gleaming golden spoon, joyfully chewing and laughing, his cheeks full of corn and pumpkin. He is surrounded by floating yellow sparkles and the smiling figure of Pumpk the fat pumpkin, radiating an intense, warm golden aura. Disney Pixar 3D animation style, 3D character design, clay rendering, octane render, smooth textures, volumetric lighting, highly detailed, 16:9 aspect ratio.`","Camera pushes in slowly (dolly in at 0.2 units/second), with light glimmers softly dancing on Homey's face as the golden glow around him intensifies with subtle pulsations. Homey's chewing motions are exaggerated and joyful, his entire body conveying delight. No text, no subtitles, no words, clean video output.","Homey, Pumpk",Cosmic Rainbow Track
21,1:31 - 1:35,4,ว้าว พลังยิ่งใหญ่ แข็งแรงฮึบๆ,โฮมมี่ลงสู่ลานสนามหญ้า Playful Front Yard ทำท่าเบ่งกล้าม ออร่าสีทองระเบิดวูบแผ่รอบตัวดุดันและน่ารัก,Heroic Low-Angle Shot,"Extreme low-angle, looking up at Homey.",Bright golden energy aura exploding from Homey with powerful volumetric light rays and dynamic dust particles. Strong highlights and dramatic shadows emphasize the impact.,"`Heroic extreme low-angle shot of Homey landing gracefully in the lush green Playful Front Yard, immediately flexing his tiny arms into a cute but powerful muscle pose. A bright golden energy aura dramatically radiates and explodes from his body, creating volumetric light rays and dynamic sparks. His expression is a determined, adorable grin. Disney Pixar 3D animation style, 3D character design, clay rendering, octane render, smooth textures, highly detailed, 16:9 aspect ratio.`","Camera drops down to an extreme low angle (dolly down 0.5 units/second) and performs a dynamic shake (frequency 5Hz, amplitude 0.08 units) to emphasize the impact of his power landing. The golden aura rapidly expands and contracts with subtle light distortion effects. No text, no subtitles, no words, clean video output.",Homey,Playful Front Yard
22,1:35 - 1:40,5,ยกของหนักได้สบาย,โฮมมี่ใช้นิ้วชี้ข้างเดียวยกเปียโนหลังใหญ่ยักษ์ขึ้นเหนือหัว หน้าตายิ้มกริ่มขี้เล่นไม่รู้สึกหนักสักนิด,Full Shot,"Low-angle, emphasizing the piano's height.","Bright, cheerful afternoon lighting, with soft shadows and a gentle golden hour glow illuminating the Playful Front Yard.","`Full shot of Homey, a small but incredibly strong monkey character, effortlessly lifting a massive, heavy, polished wooden grand piano overhead with just one index finger. He maintains a playful, cheeky grin, showing no signs of strain. The background features the charming white picket fence and lush green grass of the Playful Front Yard. Disney Pixar 3D animation style, 3D character design, clay rendering, octane render, smooth textures, highly detailed, 16:9 aspect ratio.`","Slow tilt up (tilt rate 0.5 degrees/second) from Homey's tiny feet on the grass to the giant piano floating steadily above his head. The piano shows a subtle, whimsical jiggle, and Homey's clothes exhibit gentle wind physics from the ""effortless"" lift. No text, no subtitles, no words, clean video output.",Homey,Playful Front Yard
23,1:40 - 1:44,4,เอ... ว่าแต่เพื่อนๆ ข้างบ้านล่ะจ๊ะ,โฮมมี่วางเปียโนลง วิ่งเข้ามากึ่งโคลสอัพหน้ากล้อง เอามือป้องปากชะโงกหน้ากระพริบตาถามอย่างเป็นมิตร,Close-up Shot,"Eye-level, direct address to camera.","Soft, even diffused light, with gentle rim lighting on Homey's hair. A warm and friendly atmosphere.","`Close-up shot of Homey in the Playful Front Yard, leaning playfully forward towards the camera. He cups his hand around his mouth in a friendly, inquisitive gesture, winking with a curious, cheeky smile. The background is softly blurred. Disney Pixar 3D animation style, 3D character design, clay rendering, octane render, smooth textures, highly detailed, 16:9 aspect ratio.`","Handheld camera style, with a smooth camera push-in (dolly in at 0.4 units/second) closer to Homey's face as he winks at the viewer, complete with a subtle star sparkle gleam in his eye. His head tilts playfully as he asks the question, with soft blinks. No text, no subtitles, no words, clean video output.",Homey,Playful Front Yard
24,1:44 - 1:47,3,เด็กๆ ชอบผักสีอะไรเอ่ย,มีกราฟฟิกการ์ตูนรูปผักหลากสี (เขียว แดง เหลือง ส้ม) ลอยเด้งขึ้นรอบใบหน้าโฮมมี่ที่เอียงคอทำท่านึกคิด,Close-up,Eye-level.,"Bright, even lighting, with the colorful animated 3D veggie icons emitting a soft, playful glow.","`Close-up shot of Homey, with a thoughtful and curious expression, tilting his head slightly in the Playful Front Yard setting. Cute animated 3D icons of vibrant green broccoli, juicy red tomatoes, sunny yellow corn, and bright orange bell peppers float and bounce playfully around his head. Disney Pixar 3D animation style, 3D character design, clay rendering, octane render, smooth textures, highly detailed, 16:9 aspect ratio.`","The veggie icons bounce up and down softly around Homey's head (frequency 1.5Hz, amplitude 0.05 units), while the camera performs a gentle clockwise roll (rotation 5 degrees/second). Homey's head tilts playfully from side to side, indicating deep thought. No text, no subtitles, no words, clean video output.","Homey, Brocc, Tommy, Sweetie, Poppy",Playful Front Yard
25,1:47 - 1:51,4,อู้หู น่าอร่อยทั้งนั้นเลย มาหม่ำๆ เติมๆๆ พลังด้วยกันนะ,โฮมมี่กางแขนผายมือ มีผลไม้และผักยักษ์หลากหลายชนิดลอยตกลงมารอบๆ สนามหญ้าหน้าบ้าน ชวนทุกคนร่วมงานเลี้ยง,Wide Shot,"High-angle, slowly craning up.","Bright, fantastical lighting, with soft shadows and vibrant colors on the oversized vegetables. Subsurface scattering on the veggie surfaces enhances their lush appearance.","`Wide shot of the Playful Front Yard, as a magical rain of giant, cute, and colorful vegetables (including broccoli, tomatoes, bell peppers, corn, pumpkins) softly falls onto the lush green lawn. Homey stands in the foreground, welcoming the viewer with wide open arms and an inviting smile, gesturing to the bountiful feast. Disney Pixar 3D animation style, 3D character design, clay rendering, octane render, smooth textures, highly detailed, 16:9 aspect ratio.`","Camera cranes up slowly (crane up 0.2 units/second), capturing the colorful rain of vegetables falling in slow-motion with subtle bounce physics upon landing and gentle light trails. Homey performs a wide, welcoming gesture with his arms, his body language inviting participation. No text, no subtitles, no words, clean video output.","Homey, Brocc, Tommy, Sweetie, Poppy, Pumpk",Playful Front Yard
